[2025-04-13 20:03:46] [START] User: 54, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:49] [START] User: 59, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:51] [START] User: 61, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:03:54] [START] User: 60, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:05:07] [FINISH] User: 43, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:05:11] [FINISH] User: 50, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:05:30] [FINISH] User: 58, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:22] [FINISH] User: 27, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 63, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 65, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 68, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 62, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:25] [START] User: 64, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:26] [START] User: 66, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:57] [START] User: 70, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:06:57] [START] User: 67, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:07:08] [FINISH] User: 65, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:07:08] [FINISH] User: 64, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:08:54] [FINISH] User: 62, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:24] [FINISH] User: 52, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:33] [FINISH] User: 49, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:40] [START] User: 80, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:40] [START] User: 73, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:40] [START] User: 69, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:40] [START] User: 90, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 84, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 95, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 96, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 100, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 103, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 107, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 102, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 75, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 77, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:41] [START] User: 88, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 76, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 98, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 87, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 91, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 74, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 86, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 97, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 83, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:42] [START] User: 93, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:43] [START] User: 104, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:43] [START] User: 99, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:44] [START] User: 101, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:44] [START] User: 81, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:11:44] [START] User: 82, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:14:39] [START] User: 89, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:23:01] [FINISH] User: 63, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:24:37] [FINISH] User: 66, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:24:59] [FINISH] User: 70, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 20:27:53] [FINISH] User: 33, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:07:36] [FINISH] User: 67, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:08:10] [START] User: 92, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:09:02] [START] User: 94, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:20:44] [FINISH] User: 37, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:38:22] [START] User: 106, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:43:53] [START] User: 106, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:44:09] [START] User: 105, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:50:51] [FINISH] User: 56, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:53:48] [FINISH] User: 53, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:55:17] [FINISH] User: 54, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:55:25] [FINISH] User: 55, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 21:59:13] [FINISH] User: 61, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:02:17] [FINISH] User: 57, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:07:22] [FINISH] User: 82, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:07:41] [FINISH] User: 60, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:13:36] [FINISH] User: 68, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:15:16] [FINISH] User: 59, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:15:35] [FINISH] User: 26, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:18:22] [FINISH] User: 101, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:42:02] [FINISH] User: 92, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
