[2025-04-13 22:51:08] [START] User: 53, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:51:34] [FINISH] User: 43, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:51:36] [START] User: 55, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:51:58] [FINISH] User: 49, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:51:59] [START] User: 58, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:13] [FINISH] User: 50, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:14] [START] User: 57, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:28] [FINISH] User: 52, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:30] [START] User: 56, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:36] [FINISH] User: 53, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:37] [START] User: 54, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:54] [FINISH] User: 55, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:52:55] [START] User: 59, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:18] [FINISH] User: 58, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:19] [START] User: 61, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:24] [FINISH] User: 51, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:25] [START] User: 60, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:32] [FINISH] User: 57, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:33] [START] User: 68, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:48] [FINISH] User: 56, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:49] [START] User: 64, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:55] [FINISH] User: 54, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:53:57] [START] User: 65, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:05] [FINISH] User: 64, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:06] [START] User: 66, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:12] [FINISH] User: 65, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:12] [FINISH] User: 59, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:14] [START] User: 63, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:14] [START] User: 62, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:36] [FINISH] User: 61, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:37] [START] User: 67, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:43] [FINISH] User: 60, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:44] [START] User: 70, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:51] [FINISH] User: 68, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:54:53] [START] User: 72, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:08] [FINISH] User: 72, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:10] [START] User: 71, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:25] [FINISH] User: 66, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:27] [START] User: 76, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:33] [FINISH] User: 63, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:34] [FINISH] User: 62, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:35] [START] User: 75, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:35] [START] User: 69, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:57] [FINISH] User: 67, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:55:59] [START] User: 74, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:56:04] [FINISH] User: 70, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 22:56:06] [START] User: 73, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:06:16] [FINISH] User: 71, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:06:18] [START] User: 77, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:08:55] [FINISH] User: 36, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:08:57] [START] User: 80, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:33:52] [FINISH] User: 73, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:33:53] [START] User: 81, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:35:45] [FINISH] User: 75, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:35:46] [START] User: 82, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:37:11] [FINISH] User: 82, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:37:12] [START] User: 83, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:51:23] [FINISH] User: 77, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-13 23:51:25] [START] User: 84, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:19:36] [FINISH] User: 76, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:19:38] [START] User: 87, Domain: courses, -tep: 100000, -i: 1000000, Experiment: cso
[2025-04-14 00:22:06] [FINISH] User: 69, Domain: trips, -tep: 100000, -i: 1000000, Experiment: cso
